File,Name,Extension,Tags (Comma Separated)
1,full time professional clown,mp4,"clown,clownsville,full time clown,professional clown"
2,thanos surprised at phone,jpg,"thanos,mcu,looking at phone,surprised,reacting"
3,tenzin getting beat up,mov,"avatar,korra,tenzin,beat up,fight back"
4,im looking through my bible here and don’t see anything about your opinion,mp4,"priest,opinion,looking through my bible,gagged"
5,ghost freak what is he talking about,mp4,"ben 10,ghost freak,what the hell is he talking about,confused,huh"
6,lana del ray sitting chimpanzee,mov,"sad,monkey,chimpanzee,sitting,lana del ray,let the light in,movie, waiting"
7,icarly you're gay meme,jpg,"icarly,gay,rainbow flag,youre gay,sipping tea,satisfied"
8,confused monkey chinese flute song,mp4,"monkey,confused,scratching head,chinese song,flute song"
9,got me gagging,mp4,"got me gagging,gagged,gag,its your neck,gagging"
10,were a peaceful racist group,mp4,"self own,peaceful racist group,we havent done anything,court,laughing"
11,please just give us a break,mp4,"police,stressed,give me a break,just give us a break"
12,mediaval big boobs girl walking away,mov,"medieval girl,animated,big boobs,big ass,laughing,walking away"
13,medieval girl big boobs and ass giggling,mp4,"medieval girl,animated,big boobs,big ass,laughing,giggling"
14,oh that’s not thinking she cleared,mp4,"oh thats not,cleared,ate,gagged,cleaning your toilets,latino,trump"
15,monkey giving side eye,mp4,"monkey,suspicious,side eye,looking,questioning"
16,white people in chains,jpg,"white people,chains,slavery,black lives matter,reparations,apologizing,sorry"
17,blonde creator describing bad things about show (full frontal nudity etc),mp4,"full frontal nudity,crude discussions,over the top gore,innocents killed,human torture,animal cruelty,political commentary,shockingly evil characters,blonde,film commentary"
18,boss and ceo falling backwards,mp4,"boss and ceo,gagged,falling,dead,surprised,oh no,ambulance,temu"
19,walking around store with empty shelves,mp4,"target,store,empty,empty shelves,no items"
20,so the cocaines happening when does the crack come into play,mp4,"crack,cocaine,when,when does the crack,play,come,happening"
21,I thought this was a classy party,mp4,"surprised,party,gagged,classy party,I thought this was a classy party"
22,taylor swift typing on laptop,mp4,"taylor swift,typing,laptop,smiling,jia fei,happy,searching"
23,girl losing it on call with finn wolfhard,mp4,"girl,finn wolfhard,stranger things,screaming,video call,happy"
24,wwe presenter sad I don’t wanna talk about it,mp4,"wwe,sad,no talking,cut the cameras,enough,silent,crying,tearing up"
26,christian woman clearing with monster illuminati conspiracy,mp4,"monster,illuminati,conspiracy,christian woman,cleared,ate,gagged"
27,omniman I will burn this planet down,mp4,"omniman,invincible,burn this planet,animals,society,hate"
28,the devil shivers when a clown starts morbing,png,"morbius,jared leto,joker,morbing,clown"
29,homophobic dog its not what it looks like,png,"homophobia,homophobic,dog,antigay,not what it looks like"
30,black guy suspicious side eye,png,"black guy,suspicious,side eye,interview,confused"
31,new rockstars did yoda fuck,png,"new rockstars,thumbnail,star wars,yoda"
32,new rockstars idiot?,png,"new rockstars,thumbnail,mcu,thor,marvel,thanos,idiot,stupid"
33,omniman suspicious looking at phone,png,"omniman,suspicious,eyebrow,reacting,phone"
34,wanda but donkey phase,png,"wanda,scarlett witch,donkey,mcu,marvel,shrek"
35,robin yelling kill yourself,png,"robin,yelling,kill yourself,kys,teen titans,teen titans go"
36,Kamala staring down someone,png,"kamala,harris,staring,scary,suspicious,intimiidating"
37,bro thinks hes part of the team,png,"drake,team,football,meeting,part of the team"
38,scooby doo dressed as woman on airplane,png,"scooby doo,dressed as woman,airplane,gagged,costume"
39,gta san andreas cj making out with cop,png,"gta,cj,cop,love,kissing,making out,holding each other,romantic"
40,namor staring at wakanda queen,png,"namor,wakanda,black panther,wakanda forever,staring,intimidating,suspicious,mcu"
41,dog with wine and makeup eyebrow,png,"dog,wine,cunt,cunty,makeup eyebrow,sat,satisfied"
42,tree with weird face,png,"tree,face,scary,weird,big nose,lips"
43,lg x bts meme,png,"lg,gay,bts,lgbt,pun"
44,its joever,png,"joever,joe biden,sad,done,tired,over it"
45,surprised black guy miles morales,png,"shocked,black guy,confused,miles morales,spiderverse"
46,shocked skull with gay,png,"shockeed,skull,gay,suspicious,staring"
47,cat with bro thinks he's him,png,"cat,wolf,thinks hes him,werewolf,emo,in my head"
48,new rockstars why did he do it,png,"new rockstars,thumbnail,mcu,us agent,falcon,winter soldier"
49,homphobic dog with wine glass,png,"homophobia,homophobic,dog,antigay,wine"
50,my honest reaction,png,"honest,reaction,deadpan,not surprised"
51,donkey on top of monica rambeau,png,"monica,wabdavision,donkey,mcu,marvel,shrek"
52,homophobic dog sorry you were touched when you were young,png,"homophobia,homophobic,dog,antigay,touched,young,sorry"
53,kamala photoshopped onto thick woman,png,"kamala,harris,thick,bad,photoshopped,staring into distance,cunty"
54,oprah and whoopi goldberg photoshopped,png,"oprah,whoopi goldberg,thick,bad,cunty,serving,pool,water"
55,donkey slash morbius,png,"donkey,morbius,shrek,sony"
56,leading to psych ward,jpg,"psych ward,come with me,follow,lead,mental help,mental illness"
57,ice spice with nelson mandela,jpg,"ice spice,nelson mandela,I have a dream,crowd,celebration"
58,sigma male on laptop,jpg,"sigma male,laptop,browsing,typing"
59,gorilla plotting something devious,jpg,"gorilla,monkey,evil,plotting,devious,smirking,planning"
60,everyone has pronouns,jpg,"pronouns,uno,xbox,free,everyone,cat,headphones"
61,I am cringe but I am free cow on water,jpg,"cringe,free,cow,water,peace,happy"
62,lebron james on fire,jpg,"lebron james,fire,cooking,powerful,hard,basketball,game,court"
63,woman infront of slut sign,jpg,"slut,happy,woman,sign,infront of sign,smiling"
64,messi hes so mother meme,jpg,"messi,football,mother"
65,new rockstars does he know,jpg,"new rockstars,thumbnails,does he know,batman,riddler,jail"
66,dj khaled suffering from success,jpg,"dj khaled,suffering from success,head in hands,humbled,pleased,rich"
67,"she's so crazyyyy, love her!",jpg,"shes so crazy,love her,crazy,white woman,bag on her head,peace sign,puckered lips"
